,1168,204,1693|,1168,202,1261,1691|,1168,307,304,1693|,1172,5,1261,1691|,1172,6,29,1693|,1172,15,31,1693|,1172,15,33,1693|,1172,195,190,1693|,1172,219,214,1693|,1172,273,945,1695|,1172,301,298,1693|,1172,909,941,1695|,1737,1732,230,1693|,1737,1732,226,68,1693|,1737,1732,228,224,1693|,1737,1732,309,304,1693|,1737,1732,591,588,1693|,1737,1732,1713,1710,1693|,1737,1734,500,31,1693|,1737,1734,500,33,1693|,1172,909,904,31,1693|,1172,909,904,33,1693|,1172,909,906,822,1693|,1172,301,471,468,1693|,1172,273,270,29,1693|,1172,219,216,46,1693|,1172,195,192,68,1693|,1172,15,9,29,1693|,1172,15,12,1261,1691|,1172,15,79,80,1693|
,990,1505|,988,898,23,1505|,992,158,23,1505|,992,763,1193,1509|,992,158,13,27,1505|,992,158,41,1195,1509|,992,158,45,1195,1509|,992,158,67,64,1505|,992,158,101,102,1505|,992,158,341,344,1505|,992,158,1055,1058,1505|,992,154,76,25,1505|,992,154,78,27,1505|,992,154,105,102,1505|,992,154,1621,1622,1505|,992,156,38,27,1505|,992,156,259,1197,1509|,992,156,493,490,1505|,992,267,264,953,1507|,992,275,276,64,1505|,992,383,386,27,1505|,992,399,394,23,1505|,992,399,396,23,1505|,992,451,1431,1428,1509|,992,485,488,23,1505|,992,615,610,27,1505|,992,615,612,953,1507|,992,825,820,27,1505|,992,877,874,23,1505|,992,877,878,102,1505|
,1114,5,203,803|,1114,5,291,805|,1114,133,287,805|,1114,255,252,803|,1114,1173,1168,803|,1116,572,203,803|,1116,572,291,805|,1573,1574,203,803|,1573,1574,291,805|,1573,1574,101,221,807|,1573,1574,159,1403,1404|,1573,1574,333,330,803|,1573,1574,445,442,803|,1573,1574,551,554,803|,1573,1574,915,910,803|,1573,1570,46,205,803|,1573,1570,46,225,807|,1573,1570,50,203,803|,1573,1570,50,291,805|,1116,572,101,221,807|,1116,572,159,1403,1404|,1116,572,333,330,803|,1116,572,445,442,803|,1116,572,551,554,803|,1116,572,915,910,803|,1116,570,506,203,803|,1116,570,506,291,805|,1116,785,1097,1407,1404|,1114,255,1099,1407,1404|,1114,5,101,221,807|
,1062,1633|,1062,208,861,1631|,1064,710,211,1633|,1064,710,13,599,1635|,1064,710,19,209,1633|,1064,710,19,861,1631|,1064,710,147,857,1631|,1064,710,507,859,1631|,1064,710,525,601,1635|,1064,710,1475,1476,1635|,1064,706,610,599,1635|,1064,708,76,213,1633|,1064,708,78,599,1635|,1060,166,116,213,1633|,1060,168,8,599,1635|,1060,201,196,209,1633|,1060,201,196,861,1631|,1060,363,358,211,1633|,1060,813,810,859,1631|,1062,261,258,603,1635|,1062,212,11,599,1635|,1062,212,21,861,1631|,1062,212,143,857,1631|,1062,210,13,599,1635|,1062,210,19,861,1631|,1062,210,147,857,1631|,1062,210,507,859,1631|,1062,210,525,601,1635|,1062,210,1475,1476,1635|,1062,208,20,11,599,1635|
,432,365|,432,829,830|,432,885,882|,430,149,367|,434,318,369|,434,316,31,369|,434,316,33,369|,430,124,46,369|,432,100,881,882|,432,104,80,369|,432,221,224,369|,432,221,827,830|,965,968,101,365|,965,968,881,882|,1421,1422,666,369|,1421,1424,149,367|,1421,1424,124,46,369|,1421,1422,664,31,369|,1421,1422,664,33,369|,1421,1422,987,984,369|,1421,1583,1586,1627,1624|,965,968,881,884,365|,965,968,101,829,830|,965,968,101,885,882|,965,968,4,151,367|,965,968,13,31,369|,965,968,13,33,369|,965,968,23,103,365|,965,968,51,46,369|,965,968,67,68,369|
,1098,254,133,1127|,1100,370,635,1131|,1100,374,635,1131|,1663,1664,635,1131|,1747,1748,635,1131|,1747,1748,4,133,1127|,1747,1748,13,131,1127|,1747,1748,291,286,1127|,1747,1748,511,1433,1434|,1747,1748,585,582,1127|,1747,1744,146,635,1131|,1747,1744,381,376,1127|,1747,1744,381,378,1127|,1663,1664,4,133,1127|,1663,1664,13,131,1127|,1663,1664,291,286,1127|,1663,1664,511,1433,1434|,1663,1664,585,582,1127|,1100,374,4,133,1127|,1100,374,13,131,1127|,1100,374,291,286,1127|,1100,374,511,1433,1434|,1100,374,585,582,1127|,1100,370,4,133,1127|,1100,370,13,131,1127|,1100,370,291,286,1127|,1100,370,511,1433,1434|,1100,370,585,582,1127|,1100,372,146,635,1131|,1100,372,381,376,1127|
,1624,368,69,1679|,1626,1494,112,1679|,1628,970,144,1679|,1628,970,142,1537,1683|,1628,970,146,67,1679|,1628,970,146,425,1681|,1628,972,5,67,1679|,1628,972,5,425,1681|,1628,972,195,192,1679|,1628,974,370,67,1679|,1628,974,370,425,1681|,1628,974,372,144,1679|,1628,974,374,67,1679|,1628,974,374,425,1681|,1628,1617,1612,1535,1683|,1626,1494,116,1537,1683|,1626,1494,1205,1208,1679|,1626,1492,544,144,1679|,1626,1492,548,226,1679|,1626,1496,268,1537,1683|,1626,1553,1554,1537,1683|,1624,368,81,427,1681|,1624,368,181,182,1679|,1624,368,191,192,1679|,1624,368,231,226,1679|,1624,368,389,392,1679|,1624,368,389,429,1681|,1624,368,753,750,1681|,1624,364,100,67,1679|,1624,364,100,425,1681|
,1130,634,551|,1130,634,203,555|,1130,636,116,553|,1130,1347,1342,553|,1126,130,10,553|,1126,130,12,551|,1126,132,5,551|,1126,287,290,551|,1126,583,584,551|,1128,516,460,553|,1128,518,116,553|,1435,1432,510,551|,1435,1432,510,203,555|,1435,1432,508,330,555|,1435,1432,508,332,551|,1435,1436,7,5,551|,1435,1436,8,10,553|,1435,1436,8,12,551|,1435,1436,29,205,555|,1435,1436,59,62,551|,1435,1436,87,82,551|,1435,1436,121,1613,1614|,1435,1436,271,268,553|,1128,518,112,66,551|,1128,518,114,82,551|,1128,518,487,488,551|,1128,518,637,634,551|,1128,518,673,674,551|,1128,518,933,930,553|,1128,518,1233,1230,551|
,898,4,819|,898,711,815|,898,1093,1090|,902,772,819|,902,776,709,815|,898,13,14,819|,898,13,1095,1090|,898,51,479,817|,898,51,481,817|,898,51,217,218,819|,898,51,621,616,819|,898,51,761,764,819|,898,51,1035,1030,819|,898,13,9,7,819|,898,13,79,709,815|,898,13,131,132,819|,898,13,611,707,815|,898,13,619,616,819|,898,13,905,908,819|,898,13,1369,1370,817|,902,776,78,14,819|,902,776,78,1095,1090|,902,772,5,711,815|,902,772,5,1093,1090|,902,772,15,1095,1090|,902,774,38,14,819|,902,774,38,1095,1090|,902,774,135,132,819|,898,1093,1094,14,819|,898,4,15,1095,1090|
,534,657,849|,534,106,43,845|,532,38,43,845|,532,71,74,845|,532,185,1075,1072|,536,18,41,845|,536,18,45,845|,536,18,507,847|,536,18,655,849|,536,97,98,845|,536,109,657,849|,536,197,198,845|,536,699,1077,1072|,536,861,858,847|,536,699,696,41,845|,536,699,696,45,845|,536,699,696,507,847|,536,699,696,655,849|,536,109,106,43,845|,536,97,187,1075,1072|,536,97,1377,1372,849|,536,18,13,43,845|,536,18,63,60,845|,536,18,73,74,845|,536,18,83,84,845|,536,18,161,653,849|,536,18,525,522,845|,536,18,573,570,847|,536,18,697,1077,1072|,536,18,983,1255,1252|
